,Name,Actual Ranking,Model predicted ranking,Model predicted ranking by log_endowment_per_capita,Actual Peer Assessment,Model predicted peer assessment,Model predicted peer_assessment by log_endowment_per_capita
101,Saint Mary_s College,102,61.0,89.0,2.9,3.61,3.18
102,Elizabethtown College,105,73.0,117.0,2.7,3.58,2.9
103,Hanover College,105,86.0,86.0,2.8,3.49,3.22
104,Hope College,105,58.0,105.0,3.0,3.74,3.03
105,Ripon College,105,93.0,90.0,2.7,3.38,3.18
106,Washington College,105,62.0,78.0,2.9,3.66,3.3
107,Whittier College,105,100.0,107.0,3.1,3.33,3.0
108,Goucher College,111,88.0,95.0,3.1,3.37,3.13
110,Randolph-Macon College,111,80.0,91.0,3.0,3.44,3.17
111,Grove City College,114,66.0,113.0,2.5,3.7,2.94
112,St. Anselm College,114,62.0,103.0,2.7,3.64,3.05
113,Westminster College,114,93.0,95.0,2.7,3.33,3.12
114,Austin College,117,86.0,92.0,3.0,3.5,3.16
115,College of Idaho,117,88.0,94.0,2.6,3.39,3.14
116,Drew University,117,81.0,122.0,2.9,3.47,2.84
117,Linfield College,117,73.0,98.0,2.7,3.53,3.1
118,Lycoming College,117,91.0,76.0,2.6,3.42,3.32
119,Susquehanna University,117,79.0,104.0,3.0,3.51,3.03
120,Westmont College,117,83.0,107.0,2.7,3.5,3.0
121,Houghton College,124,70.0,112.0,2.4,3.6,2.95
122,Millsaps College,124,55.0,90.0,3.0,4.09,3.18
123,Monmouth College,124,101.0,87.0,2.7,3.28,3.21
124,St. Michael_s College,124,82.0,118.0,2.8,3.53,2.88
125,Stonehill College,124,70.0,100.0,2.7,3.57,3.07
127,Coe College,130,97.0,108.0,2.9,3.4,3.0
128,Roanoke College,130,88.0,103.0,2.9,3.4,3.04
130,Randolph College,132,102.0,66.0,2.6,3.22,3.43
131,Saint Vincent College,132,133.0,323.0,2.3,3.06,0.76
132,Salem College,132,82.0,105.0,2.3,3.58,3.03
133,Illinois College,136,98.0,84.0,2.6,3.36,3.24
135,Moravian College,136,95.0,118.0,2.5,3.34,2.89
140,Massachusetts College of Liberal Arts,140,123.0,169.0,2.5,3.16,2.36
141,Presbyterian College,140,93.0,106.0,2.8,3.4,3.01
142,Franklin College,145,102.0,98.0,2.6,3.27,3.1
144,Wesleyan College,145,98.0,102.0,2.9,3.26,3.05
145,Covenant College,148,81.0,123.0,2.3,3.55,2.84
146,Emory and Henry College,148,108.0,105.0,2.7,3.22,3.03
147,Meredith College,148,96.0,110.0,2.6,3.34,2.97
148,University of Minnesota--Morris,148,108.0,165.0,2.7,3.32,2.4
