,Name,Ranking,Model predicted ranking,Peer Assessment,Model predicted peer assessment
147,Meredith College,148,130.0,2.6,2.69
148,University of Minnesota--Morris,148,135.0,2.7,2.75
149,University of North Carolina--Asheville,148,155.0,3.1,2.53
151,Guilford College,154,137.0,3.0,2.61
153,Sweet Briar College,154,86.0,2.2,2.99
154,Centenary College of Louisiana,157,103.0,2.4,2.91
155,Georgetown College,157,142.0,2.5,2.59
156,Westminster College,157,129.0,2.7,2.66
158,Hartwick College,160,134.0,2.6,2.55
159,Warren Wilson College,160,124.0,2.7,2.67
160,Wittenberg University,160,131.0,2.8,2.69
161,Albright College,164,151.0,2.5,2.57
165,Bennett College,168,161.0,2.2,2.31
166,Bethany College,169,151.0,2.3,2.41
167,Bethany Lutheran College,170,143.0,2.1,2.48
168,Bethune-Cookman University,171,194.0,2.3,2.19
169,Blackburn College,172,145.0,2.2,2.5
173,Chowan University,175,184.0,2.0,2.24
176,Emmanuel College,178,136.0,2.4,2.68
178,Fort Lewis College,180,195.0,2.6,2.21
179,Gordon College,181,132.0,2.4,2.72
184,Louisiana State University--Alexandria,186,201.0,2.1,2.22
186,Mansfield University of Pennsylvania,188,215.0,2.0,1.95
189,Oglethorpe University,191,149.0,3.0,2.68
195,Oglethorpe University,197,149.0,3.0,2.68
202,Spring Hills College,204,153.0,2.3,2.56
205,Tougaloo College,207,131.0,2.3,2.77
206,University of Pikeville,208,168.0,2.1,2.41
210,University of Virginia Wise,212,127.0,2.5,2.71
211,University of Wisconsin Superior,213,188.0,2.0,2.24
212,Virginia Union University,214,176.0,2.1,2.35
213,Virginia Wesleyan University,215,148.0,2.5,2.51
214,Williams Baptist University,216,155.0,1.8,2.47
